,train_loss_kaiki,val_loss_kaiki
0,205948.29834932493,1127.3953021892066
1,1064.4950614855127,909.3894825166869
2,1337.9703704932747,837.0371816690686
3,854.2302967059188,585.8614810091777
4,733.2236199733894,574.365218375493
5,709.9553716468193,555.4738899897603
6,684.5552003730847,535.5495528434087
7,661.1574590491631,517.2783019426957
8,636.3226064540036,497.2445631304991
9,607.0254093898538,476.3371356853004
10,580.1738567660927,456.7833797121511
11,551.0164987508533,436.6285163360892
12,525.5415814347251,418.53643502540956
13,499.0695852137692,401.64254079281704
14,477.8325442218472,385.41254610228305
15,456.77564839483466,373.5249936001972
16,439.7905194427589,363.9612746747952
17,425.4205829904303,355.3813067686211
18,414.76025104214074,349.1804608095039
19,405.83988710668865,345.0415880518052
20,398.8520199673847,342.3924477586468
21,393.8070078235614,340.15068780102774
22,389.7771335836367,337.1568245008154
23,384.77264838851386,335.2263482843788
24,381.82913938849487,333.6685598428967
25,378.2394675344325,331.10020580106567
26,375.9475176172349,329.4454144227852
27,371.47597990066873,327.4087423676426
28,368.938975263182,325.4290537417514
29,365.5358942025688,324.30185914271084
